"","energy","protein","fat","size"
"1",1970,3.1,27.2,50
"2",2003,4.6,26.5,50
"3",2057,9.9,23,40
"4",1920,5.1,18.4,80
"5",2250,10.2,30.1,45
"6",2186,7,28.4,78
"7",1930,3.5,24.5,55
"8",1980,7.2,22.9,60
"9",1890,4.7,19.5,60
"10",2030,5.6,20.4,50
"11",2180,5.5,26.8,40
"12",1623,2.2,9.2,55
"13",1640,3.7,12,44.5
"14",2210,8.2,29.8,75
"15",1980,8.5,20.6,60
"16",1970,5,20,42.5
"17",1877.42888175278,6.12271655470356,18.031412509288,52.2855892631706
"18",2021.39013142025,4.62322614761717,22.3114850084816,52.3095552760432
"19",1840.08011890976,3.37422797525914,20.7552355535593,63.0634092896874
"20",2272.1302979096,10.4672876488473,27.7353421401125,64.8166811266506
"21",2047.26018527893,5.93619911474624,25.7047861676216,46.9229679884119
"22",1843.00110843893,3.24889350730977,18.3127788627624,44.9986415341146
"23",2075.17808372916,5.57041578464885,27.6289418021714,60.7143230569999
"24",2119.79346286818,7.45716834659556,25.7969302576719,66.2876287986267
"25",2090.94755001337,7.3131432790496,26.8855558591774,54.7094240417967
"26",1934.31405705995,5.42003680883695,21.6014326355093,66.213190461307
"27",2257.26052438195,8.92534846446322,29.4101927812628,62.6472575977832
"28",2057.91860715444,5.97165597567324,27.7635861641884,47.999715870067
"29",1878.22966132219,2.81762708221774,21.4240854239445,58.7893488045805
"30",1595.25668565094,3.39073301278463,12.9459072478346,37.5451895834769
"31",2188.30348758448,5.49407793038465,32.0784784180727,75.397520424503
"32",1980.41492392313,7.0190156177208,24.4436295871205,80.755224157763
"33",1985.91770921346,7.69519353862578,19.5943747267417,50.5680433919626
"34",2156.49518195926,8.85737082241974,26.6191467685581,43.2517424363595
"35",2134.57810410472,9.43616846620696,24.4967479370691,63.8568824539807
"36",2094.23989851559,7.48899403325911,24.6368881014358,54.4428451899431
"37",2151.67690248554,10.4255748727788,27.2004454267312,87.5936515472456
"38",2127.67872985095,5.63122469931193,26.0929026899052,55.9406167202087
"39",2001.86526773923,9.12337512004691,21.7773788863076,64.3180239430569
"40",1635.2362763356,2.94461970592687,12.2480585218256,52.77178074452
"41",2098.88709150642,9.14042688924567,25.0236555718941,46.6571653696374
"42",1978.56514299674,4.74763418574525,26.7197149462194,57.6589904465441
"43",1961.22044699121,2.23838894431948,21.9894519735108,31.826477214635
"44",1727.18829955534,2.2571013242443,16.512047715205,72.032508722795
"45",1903.66056884054,6.28470811269105,21.5367926249478,56.5950685775284
"46",2062.55674797019,6.65577569356677,29.6438406671802,83.901667547599
"47",2230.07059415537,8.26512268951826,28.113924264202,63.4181750493205
"48",1970.52831223245,6.29201625083604,20.8419254960389,46.0231334279906
"49",2057.39948985299,5.2859824793857,28.0912243335947,63.7382098121108
"50",1979.23685446111,7.77481143838372,21.2399400770377,43.2154838289378
"51",1744.13923908104,5.7893348624741,15.3943692514722,37.1714573386077
"52",1914.91994747085,6.98371766087254,19.944215098342,58.4685913331969
"53",1918.73605133659,4.31278002002057,18.9418864024326,49.0235361643693
"54",1978.14732380444,6.88905568521018,21.871003500884,55.2456409065429
"55",2184.03449337634,8.94841691442705,30.4724088711019,57.8827762437793
"56",2124.40299729756,4.99041002814219,25.0541967815344,48.8235624639079
