"","long","lat","group","order","region","subregion"
"1",-94.4979248046875,33.6669998168945,1,1,"texas",NA
"2",-94.4807434082031,33.6555404663086,1,2,"texas",NA
"3",-94.4750137329102,33.6326217651367,1,3,"texas",NA
"4",-94.4635543823242,33.6154365539551,1,4,"texas",NA
"5",-94.4520874023438,33.5982437133789,1,5,"texas",NA
"6",-94.4234466552734,33.5982437133789,1,6,"texas",NA
"7",-94.40625,33.5753288269043,1,7,"texas",NA
"8",-94.4005279541016,33.5695991516113,1,8,"texas",NA
"9",-94.3661499023438,33.5753288269043,1,9,"texas",NA
"10",-94.3088531494141,33.5695991516113,1,10,"texas",NA
"11",-94.2973937988281,33.5753288269043,1,11,"texas",NA
"12",-94.2802047729492,33.586784362793,1,12,"texas",NA
"13",-94.2630157470703,33.586784362793,1,13,"texas",NA
"14",-94.2400970458984,33.5753288269043,1,14,"texas",NA
"15",-94.2286376953125,33.5982437133789,1,15,"texas",NA
"16",-94.2229080200195,33.6097030639648,1,16,"texas",NA
"17",-94.2057189941406,33.6154365539551,1,17,"texas",NA
"18",-94.1885375976562,33.6097030639648,1,18,"texas",NA
"19",-94.1541595458984,33.586784362793,1,19,"texas",NA
"20",-94.1484298706055,33.586784362793,1,20,"texas",NA
"21",-94.1197738647461,33.5925178527832,1,21,"texas",NA
"22",-94.0911254882812,33.5982437133789,1,22,"texas",NA
"23",-94.0796661376953,33.586784362793,1,23,"texas",NA
"24",-94.056755065918,33.5753288269043,1,24,"texas",NA
"25",-94.051025390625,33.3003082275391,1,25,"texas",NA
"26",-94.051025390625,33.0367469787598,1,26,"texas",NA
"27",-94.051025390625,32.8992347717285,1,27,"texas",NA
"28",-94.051025390625,32.7101631164551,1,28,"texas",NA
"29",-94.051025390625,32.4064903259277,1,29,"texas",NA
"30",-94.051025390625,32.2116889953613,1,30,"texas",NA
"31",-94.056755065918,32.0168800354004,1,31,"texas",NA
"32",-94.0109176635742,31.9882354736328,1,32,"texas",NA
"33",-93.9593505859375,31.9366664886475,1,33,"texas",NA
"34",-93.9077835083008,31.8908290863037,1,34,"texas",NA
"35",-93.873405456543,31.8564529418945,1,35,"texas",NA
"36",-93.873405456543,31.8278045654297,1,36,"texas",NA
"37",-93.8447570800781,31.8048877716064,1,37,"texas",NA
"38",-93.8332977294922,31.7876968383789,1,38,"texas",NA
"39",-93.8332977294922,31.7590503692627,1,39,"texas",NA
"40",-93.8161087036133,31.7304019927979,1,40,"texas",NA
"41",-93.7989196777344,31.7132129669189,1,41,"texas",NA
"42",-93.8103790283203,31.6960258483887,1,42,"texas",NA
"43",-93.8275680541992,31.6845645904541,1,43,"texas",NA
"44",-93.8390274047852,31.6731071472168,1,44,"texas",NA
"45",-93.8390274047852,31.6501884460449,1,45,"texas",NA
"46",-93.8218383789062,31.6387310028076,1,46,"texas",NA
"47",-93.8275680541992,31.627269744873,1,47,"texas",NA
"48",-93.8390274047852,31.6158123016357,1,48,"texas",NA
"49",-93.8447570800781,31.5986232757568,1,49,"texas",NA
"50",-93.8218383789062,31.5814323425293,1,50,"texas",NA
"51",-93.7989196777344,31.5413246154785,1,51,"texas",NA
"52",-93.7760009765625,31.5298671722412,1,52,"texas",NA
"53",-93.7473526000977,31.5298671722412,1,53,"texas",NA
"54",-93.7301635742188,31.5184097290039,1,54,"texas",NA
"55",-93.7416305541992,31.5069484710693,1,55,"texas",NA
"56",-93.7530822753906,31.4783000946045,1,56,"texas",NA
"57",-93.7187042236328,31.4611110687256,1,57,"texas",NA
"58",-93.7015228271484,31.4210052490234,1,58,"texas",NA
"59",-93.6614074707031,31.3808975219727,1,59,"texas",NA
"60",-93.6671371459961,31.3694400787354,1,60,"texas",NA
"61",-93.684326171875,31.3407917022705,1,61,"texas",NA
"62",-93.7015228271484,31.3236026763916,1,62,"texas",NA
"63",-93.6957931518555,31.3121452331543,1,63,"texas",NA
"64",-93.678596496582,31.3006839752197,1,64,"texas",NA
"65",-93.6499557495117,31.2892265319824,1,65,"texas",NA
"66",-93.6270294189453,31.2663078308105,1,66,"texas",NA
"67",-93.6098480224609,31.2433891296387,1,67,"texas",NA
"68",-93.6098480224609,31.2204704284668,1,68,"texas",NA
"69",-93.5754699707031,31.1975517272949,1,69,"texas",NA
"70",-93.5468139648438,31.2032814025879,1,70,"texas",NA
"71",-93.5525512695312,31.1459865570068,1,71,"texas",NA
"72",-93.5640106201172,31.1058807373047,1,72,"texas",NA
"73",-93.5468139648438,31.0657730102539,1,73,"texas",NA
"74",-93.5353622436523,31.0485820770264,1,74,"texas",NA
"75",-93.5468139648438,31.0256633758545,1,75,"texas",NA
"76",-93.5640106201172,31.0142059326172,1,76,"texas",NA
"77",-93.5811920166016,30.9970169067383,1,77,"texas",NA
"78",-93.5697402954102,30.979829788208,1,78,"texas",NA
"79",-93.5582809448242,30.9683685302734,1,79,"texas",NA
"80",-93.5468139648438,30.9511795043945,1,80,"texas",NA
"81",-93.5468139648438,30.9339923858643,1,81,"texas",NA
"82",-93.5640106201172,30.9168033599854,1,82,"texas",NA
"83",-93.5754699707031,30.8996162414551,1,83,"texas",NA
"84",-93.5640106201172,30.8824234008789,1,84,"texas",NA
